"DiseaseID","DiseaseName","OmimID"
"Col_0001","Colorectal cancer","603184"
"Col_0002","Colorectal cancer","114480"
"Col_0003","Colorectal cancer","168461"
"Col_0004","Colorectal cancer","604373"
"Col_0005","Colorectal cancer","604156"
"Col_0006","Colorectal cancer","190182"
"Col_0007","Colorectal cancer","603956"
"Col_0008","Colorectal cancer","236250"
"Col_0009","Colorectal cancer","227650"
"Col_0010","Colorectal cancer","620079"
"Col_0011","Colorectal cancer","619779"
"Col_0012","Colorectal cancer","619494"
"Col_0013","Colorectal cancer","619403"
"Col_0014","Colorectal cancer","618921"
"Col_0015","Colorectal cancer","618344"
"Col_0016","Colorectal cancer","618262"
"Col_0017","Colorectal cancer","616523"
"Col_0018","Colorectal cancer","616380"
"Col_0019","Colorectal cancer","616226"
"Col_0020","Colorectal cancer","615930"
"Col_0021","Colorectal cancer","614316"
"Col_0022","Colorectal cancer","612791"
"Col_0023","Colorectal cancer","612374"
"Col_0024","Colorectal cancer","612205"
"Col_0025","Colorectal cancer","612171"
"Col_0026","Colorectal cancer","611234"
"Col_0027","Colorectal cancer","610596"
"Col_0028","Colorectal cancer","610575"
"Col_0029","Colorectal cancer","609788"
"Col_0030","Colorectal cancer","609351"
"Col_0031","Colorectal cancer","608892"
"Col_0032","Colorectal cancer","608712"
"Col_0033","Colorectal cancer","608288"
"Col_0034","Colorectal cancer","608004"
"Col_0035","Colorectal cancer","180660"
"Col_0036","Colorectal cancer","179590"
"Col_0037","Colorectal cancer","176886"
"Col_0038","Colorectal cancer","176877"
"Col_0039","Colorectal cancer","164730"
"Col_0040","Colorectal cancer","617848"
"Col_0041","Colorectal cancer","616043"
"Col_0042","Colorectal cancer","606063"
"Col_0043","Colorectal cancer","147310"
"Col_0044","Colorectal cancer","605580"
"Col_0045","Colorectal cancer","605252"
"Col_0046","Colorectal cancer","604710"
"Col_0047","Colorectal cancer","607021"
"Col_0048","Colorectal cancer","604261"
"Col_0049","Colorectal cancer","604258"
"Col_0050","Colorectal cancer","603816"
"Col_0051","Colorectal cancer","603638"
"Col_0052","Colorectal cancer","603637"
"Col_0053","Colorectal cancer","603636"
"Col_0054","Colorectal cancer","603633"
"Col_0055","Colorectal cancer","603632"
"Col_0056","Colorectal cancer","603631"
"Col_0057","Colorectal cancer","603630"
"Col_0058","Colorectal cancer","603598"
"Col_0059","Colorectal cancer","603155"
"Col_0060","Colorectal cancer","603149"
"Col_0061","Colorectal cancer","603114"
"Col_0062","Colorectal cancer","602900"
"Col_0063","Colorectal cancer","602656"
"Col_0064","Colorectal cancer","602545"
"Col_0065","Colorectal cancer","601993"
"Col_0066","Colorectal cancer","601614"
"Col_0067","Colorectal cancer","601290"
"Col_0068","Colorectal cancer","600726"
"Col_0069","Colorectal cancer","600267"
"Col_0070","Colorectal cancer","600258"
"Col_0071","Colorectal cancer","516040"
"Col_0072","Colorectal cancer","516004"
"Col_0073","Colorectal cancer","516000"
"Col_0074","Colorectal cancer","138350"
"Col_0075","Colorectal cancer","131550"
"Col_0076","Colorectal cancer","188350"
"Col_0077","Colorectal cancer","185535"
"Col_0078","Colorectal cancer","114890"
"Col_0079","Colorectal cancer","109610"
"Col_0080","Colorectal cancer","108345"
"Col_0081","Colorectal cancer","619975"
"Col_0082","Colorectal cancer","619182"
"Col_0083","Colorectal cancer","617100"
"Col_0084","Colorectal cancer","610069"
"Col_0085","Colorectal cancer","604370"
"Col_0086","Colorectal cancer","266600"
"Col_0087","Colorectal cancer","618327"
"Col_0088","Colorectal cancer","618032"
"Col_0089","Colorectal cancer","616888"
"Col_0090","Colorectal cancer","615209"
"Col_0091","Colorectal cancer","615114"
"Col_0092","Colorectal cancer","612482"
"Col_0093","Colorectal cancer","610290"
"Col_0094","Colorectal cancer","608610"
"Col_0095","Colorectal cancer","611020"
"Col_0096","Colorectal cancer","611005"
"Col_0097","Colorectal cancer","606097"
"Col_0098","Colorectal cancer","605854"
"Col_0099","Colorectal cancer","605734"
"Col_0101","Colorectal cancer","604763"
"Col_0102","Colorectal cancer","604584"
"Col_0103","Colorectal cancer","607093"
"Col_0104","Colorectal cancer","606449"
"Col_0105","Colorectal cancer","606278"
"Col_0106","Colorectal cancer","603719"
"Col_0107","Colorectal cancer","603634"
"Col_0108","Colorectal cancer","603574"
"Col_0109","Colorectal cancer","602510"
"Col_0110","Colorectal cancer","601920"
"Col_0111","Colorectal cancer","600997"
"Col_0112","Colorectal cancer","600887"
"Col_0113","Colorectal cancer","600600"
"Col_0114","Colorectal cancer","600297"
"Col_0115","Colorectal cancer","600262"
"Col_0116","Colorectal cancer","516020"
"Col_0117","Colorectal cancer","611100"
"Col_0118","Colorectal cancer","167000"
"Col_0119","Colorectal cancer","300755"
"Col_0120","Colorectal cancer","618519"
"Col_0121","Colorectal cancer","617705"
"Col_0122","Colorectal cancer","612182"
"Col_0123","Colorectal cancer","172411"
"Col_0124","Colorectal cancer","171150"
"Col_0125","Colorectal cancer","604609"
"Col_0126","Colorectal cancer","516030"
"Col_0127","Colorectal cancer","603030"
"Col_0128","Colorectal cancer","603028"
"Col_0129","Colorectal cancer","619101"
"Col_0130","Colorectal cancer","613659"
"Col_0131","Colorectal cancer","137215"
"Col_0132","Colorectal cancer","616877"
"Col_0133","Colorectal cancer","610703"
"Col_0134","Colorectal cancer","603682"
"Col_0135","Colorectal cancer","603109"
"Col_0136","Colorectal cancer","600040"
"Col_0137","Colorectal cancer","134934"
"Col_0138","Colorectal cancer","190080"
"Col_0139","Colorectal cancer","617108"
"Col_0140","Colorectal cancer","616415"
"Col_0141","Colorectal cancer","608456"
"Col_0142","Colorectal cancer","608089"
"Col_0143","Colorectal cancer","158320"
"Col_0144","Colorectal cancer","276300"
"Col_0145","Colorectal cancer","243400"
"Col_0146","Colorectal cancer","147470"
"Col_0147","Colorectal cancer","604610"
"Col_0148","Colorectal cancer","607273"
"Col_0149","Colorectal cancer","602700"
"Col_0150","Colorectal cancer","602932"
"Col_0151","Colorectal cancer","602860"
"Col_0152","Colorectal cancer","192090"
"Col_0153","Colorectal cancer","614606"
"Col_0154","Colorectal cancer","606702"
"Col_0155","Colorectal cancer","602452"
"Col_0156","Colorectal cancer","602228"
"Col_0157","Colorectal cancer","601366"
"Col_0158","Colorectal cancer","174761"
"Col_0159","Colorectal cancer","171834"
"Col_0160","Colorectal cancer","604933"
"Col_0161","Colorectal cancer","116806"
"Col_0162","Colorectal cancer","174762"
"Col_0163","Colorectal cancer","164757"
"Col_0164","Colorectal cancer","600993"
"Col_0165","Colorectal cancer","191170"
"Col_0166","Colorectal cancer","604025"
"Col_0167","Colorectal cancer","190070"
"Col_0168","Colorectal cancer","600678"
"Col_0169","Colorectal cancer","600259"
"Col_0170","Colorectal cancer","175100"
"Col_0171","Colorectal cancer","604395"
"Col_0172","Colorectal cancer","611731"
"Col_0173","Colorectal cancer","609309"
"Col_0174","Colorectal cancer","120436"
"Col_0175","Colorectal cancer","619734"
"Col_0176","Colorectal cancer","615694"
"Col_0177","Colorectal cancer","615693"
"Col_0178","Colorectal cancer","159350"
"Col_0179","Colorectal cancer","120470"
"Col_0180","Colorectal cancer","614350"
"Col_0181","Colorectal cancer","614337"
"Col_0182","Colorectal cancer","614331"
"Col_0183","Colorectal cancer","613244"
"Col_0184","Colorectal cancer","609310"
"Col_0185","Colorectal cancer","614385"
"Col_0186","Colorectal cancer","120435"
"Col_0187","Colorectal cancer","114500"
"Col_0188","Colorectal cancer","612592"
"Col_0189","Colorectal cancer","612590"
"Col_0190","Colorectal cancer","612589"
"Col_0191","Colorectal cancer","612232"
"Col_0192","Colorectal cancer","612231"
"Col_0193","Colorectal cancer","612230"
"Col_0194","Colorectal cancer","611469"
"Col_0195","Colorectal cancer","615083"
"Col_0196","Colorectal cancer","612591"
"Col_0197","Colorectal cancer","612229"
"Col_0198","Colorectal cancer","608812"
"Col_0199","Colorectal cancer","608615"
"Col_0200","Colorectal cancer","601228"
"Dia1_0001","Type 1 Diabetes","601208"
"Dia1_0002","Type 1 Diabetes","600883"
"Dia1_0003","Type 1 Diabetes","600321"
"Dia1_0004","Type 1 Diabetes","600319"
"Dia1_0005","Type 1 Diabetes","600318"
"Dia1_0006","Type 1 Diabetes","610155"
"Dia1_0007","Type 1 Diabetes","618887"
"Dia1_0008","Type 1 Diabetes","618799"
"Dia1_0009","Type 1 Diabetes","608212"
"Dia1_0010","Type 1 Diabetes","600769"
"Dia1_0011","Type 1 Diabetes","600725"
"Dia1_0012","Type 1 Diabetes","611992"
"Dia1_0013","Type 1 Diabetes","611373"
"Dia1_0014","Type 1 Diabetes","611099"
"Dia1_0015","Type 1 Diabetes","613868"
"Dia1_0016","Type 1 Diabetes","612659"
"Dia1_0017","Type 1 Diabetes","612373"
"Dia1_0018","Type 1 Diabetes","612515"
"Dia1_0019","Type 1 Diabetes","609667"
"Dia1_0020","Type 1 Diabetes","608058"
"Dia1_0021","Type 1 Diabetes","605204"
"Dia1_0022","Type 1 Diabetes","605093"
"Dia1_0023","Type 1 Diabetes","604882"
"Dia1_0024","Type 1 Diabetes","600169"
"Dia1_0025","Type 1 Diabetes","600129"
"Dia1_0026","Type 1 Diabetes","601769"
"Dia1_0027","Type 1 Diabetes","300386"
"Dia1_0028","Type 1 Diabetes","300300"
"Dia1_0029","Type 1 Diabetes","300292"
"Dia1_0030","Type 1 Diabetes","179503"
"Dia1_0031","Type 1 Diabetes","176290"
"Dia1_0032","Type 1 Diabetes","167413"
"Dia1_0033","Type 1 Diabetes","163730"
"Dia1_0034","Type 1 Diabetes","152391"
"Dia1_0035","Type 1 Diabetes","151460"
"Dia1_0036","Type 1 Diabetes","147679"
"Dia1_0037","Type 1 Diabetes","142860"
"Dia1_0038","Type 1 Diabetes","142857"
"Dia1_0039","Type 1 Diabetes","142800"
"Dia1_0040","Type 1 Diabetes","136533"
"Dia1_0041","Type 1 Diabetes","124092"
"Dia1_0042","Type 1 Diabetes","147267"
"Dia1_0043","Type 1 Diabetes","600669"
"Dia1_0044","Type 1 Diabetes","275000"
"Dia1_0045","Type 1 Diabetes","140300"
"Dia1_0046","Type 1 Diabetes","137100"
"Dia1_0047","Type 1 Diabetes","619707"
"Dia1_0048","Type 1 Diabetes","618856"
"Dia1_0049","Type 1 Diabetes","618808"
"Dia1_0050","Type 1 Diabetes","617765"
"Dia1_0051","Type 1 Diabetes","616100"
"Dia1_0052","Type 1 Diabetes","615952"
"Dia1_0053","Type 1 Diabetes","615551"
"Dia1_0054","Type 1 Diabetes","615361"
"Dia1_0055","Type 1 Diabetes","614613"
"Dia1_0056","Type 1 Diabetes","610370"
"Dia1_0057","Type 1 Diabetes","613385"
"Dia1_0058","Type 1 Diabetes","613370"
"Dia1_0059","Type 1 Diabetes","612634"
"Dia1_0060","Type 1 Diabetes","612624"
"Dia1_0061","Type 1 Diabetes","609755"
"Dia1_0062","Type 1 Diabetes","606176"
"Dia1_0063","Type 1 Diabetes","217000"
"Dia1_0064","Type 1 Diabetes","212750"
"Dia1_0065","Type 1 Diabetes","304790"
"Dia1_0066","Type 1 Diabetes","161400"
"Dia1_0067","Type 1 Diabetes","143470"
"Dia1_0068","Type 1 Diabetes","125853"
"Dia1_0069","Type 1 Diabetes","111000"
"Dia1_0070","Type 1 Diabetes","600636"
"Dia1_0071","Type 1 Diabetes","606945"
"Dia1_0072","Type 1 Diabetes","176930"
"Dia1_0073","Type 1 Diabetes","153390"
"Dia1_0074","Type 1 Diabetes","147680"
"Dia1_0075","Type 1 Diabetes","147625"
"Dia1_0076","Type 1 Diabetes","147620"
"Dia1_0077","Type 1 Diabetes","300574"
"Dia1_0078","Type 1 Diabetes","147510"
"Dia1_0079","Type 1 Diabetes","147460"
"Dia1_0080","Type 1 Diabetes","270150"
"Dia1_0081","Type 1 Diabetes","618858"
"Dia1_0082","Type 1 Diabetes","614700"
"Dia1_0083","Type 1 Diabetes","612633"
"Dia1_0084","Type 1 Diabetes","266600"
"Dia1_0085","Type 1 Diabetes","601373"
"Dia1_0086","Type 1 Diabetes","607358"
"Dia1_0087","Type 1 Diabetes","606951"
"Dia1_0088","Type 1 Diabetes","606935"
