"DiseaseID","GeneID","Phenotype"
"Col_0001","GE_1030","Intellectualdevelopmentaldisorderwithhypotoniaandbehavioralabnormalities"
"Col_0002","GE_1031","{Breastcancer,invasiveductal}"
"Col_0003","GE_1032","{Colorectalcancer,susceptibilityto}"
"Col_0004","GE_1033","Li-Fraumenisyndrome2"
"Col_0005","GE_1034","NULL"
"Col_0006","GE_1035","Colorectalcancer,hereditarynonpolyposis,type6"
"Col_0007","GE_1036","Cervicalcancer,somatic"
"Col_0008","GE_1037","HomocystinuriaduetoMTHFRdeficiency"
"Col_0009","GE_1038","Fanconianemia,complementationgroupA"
"Col_0010","GE_1039","NULL"
"Col_0011","GE_1040","NULL"
"Col_0012","GE_1041","NULL"
"Col_0013","GE_1042","NULL"
"Col_0014","GE_1043","NULL"
"Col_0015","GE_1044","NULL"
"Col_0016","GE_1045","NULL"
"Col_0017","GE_1046","NULL"
"Col_0018","GE_1047","NULL"
"Col_0019","GE_1048","NULL"
"Col_0020","GE_1049","NULL"
"Col_0021","GE_1050","NULL"
"Col_0022","GE_1051","NULL"
"Col_0023","GE_1052","STING-associatedvasculopathy,infantile-onset"
"Col_0024","GE_1053","NULL"
"Col_0025","GE_1054","NULL"
"Col_0026","GE_1055","NULL"
"Col_0027","GE_1056","NULL"
"Col_0028","GE_1057","?Humerofemoralhypoplasiawithradiotibialraydeficiency"
"Col_0029","GE_1058","NULL"
"Col_0030","GE_1059","NULL"
"Col_0031","GE_1060","CHARGEsyndrome"
"Col_0032","GE_1061","NULL"
"Col_0033","GE_1062","NULL"
"Col_0034","GE_1063","NULL"
"Col_0035","GE_1064","Neurodevelopmentaldisorderwithhypotoniaandvariableintellectualandbehavioralabnormalities"
"Col_0036","GE_1065","?Breastsand/ornipples,aplasiaorhypoplasiaof,2"
"Col_0037","GE_1066","NULL"
"Col_0038","GE_1067","NULL"
"Col_0039","GE_1068","Breastcancer,somatic"
"Col_0040","GE_1069","NULL"
"Col_0041","GE_1070","NULL"
"Col_0042","GE_1071","NULL"
"Col_0043","GE_1072","NULL"
"Col_0044","GE_1073","NULL"
"Col_0045","GE_1074","NULL"
"Col_0046","GE_1075","Cutislaxa,autosomalrecessive,typeIC"
"Col_0047","GE_1076","NULL"
"Col_0048","GE_1077","?Spinocerebellarataxia,autosomalrecessive25"
"Col_0049","GE_1078","Colorectalcancer,somatic"
"Col_0050","GE_1079","?Caudalduplicationanomaly"
"Col_0051","GE_1080","NULL"
"Col_0052","GE_1081","NULL"
"Col_0053","GE_1082","Hypotrichosis12"
"Col_0054","GE_1083","Diamond-Blackfananemia13"
"Col_0055","GE_1084","Diamond-Blackfananemia9"
"Col_0056","GE_1085","NULL"
"Col_0057","GE_1086","NULL"
"Col_0058","GE_1087","NULL"
"Col_0059","GE_1088","Choanalatresiaandlymphedema"
"Col_0060","GE_1089","NULL"
"Col_0061","GE_1090","NULL"
"Col_0062","GE_1091","Facioscapulohumeralmusculardystrophy4,digenic"
"Col_0063","GE_1092","Familialadenomatouspolyposis3"
"Col_0064","GE_1093","NULL"
"Col_0065","GE_1094","NULL"
"Col_0066","GE_1095","Mirrormovements4"
"Col_0067","GE_1096","NULL"
"Col_0068","GE_1097","Acrocapitofemoraldysplasia"
"Col_0069","GE_1098","NULL"
"Col_0070","GE_1099","NULL"
"Col_0071","GE_1100","NULL"
"Col_0072","GE_1101","NULL"
"Col_0073","GE_1102","NULL"
"Col_0074","GE_1103","NULL"
"Col_0075","GE_1104","?Inflammatoryskinandboweldisease,neonatal,2"
"Col_0076","GE_1105","Dyskeratosiscongenita,digenic"
"Col_0077","GE_1106","Diarrhea5,withtuftingenteropathy,congenital"
"Col_0078","GE_1107","NULL"
"Col_0079","GE_1108","NULL"
"Col_0080","GE_1109","NULL"
"Col_0081","GE_1110","Tumorpredispositionsyndrome2"
"Col_0082","GE_1111","Gastricadenocarcinomaandproximalpolyposisofthestomach"
"Col_0083","GE_1112","Familialadenomatouspolyposis4"
"Col_0084","GE_1113","Polyposissyndrome,hereditarymixed,2"
"Col_0085","GE_1114","{Breast-ovariancancer,familial,1}"
"Col_0086","GE_1115","{Crohndisease-associatedgrowthfailure}"
"Col_0087","GE_1116","NULL"
"Col_0088","GE_1117","NULL"
"Col_0089","GE_1118","NULL"
"Col_0090","GE_1119","NULL"
"Col_0091","GE_1120","NULL"
"Col_0092","GE_1121","Sessileserratedpolyposiscancersyndrome"
"Col_0093","GE_1122","{Colorectalcancer,susceptibilityto,1}"
"Col_0094","GE_1123","NULL"
"Col_0095","GE_1124","NULL"
"Col_0096","GE_1125","NULL"
"Col_0097","GE_1126","Multiplecongenitalanomalies-hypotonia-seizuressyndrome1"
"Col_0098","GE_1127","NULL"
"Col_0099","GE_1128","NULL"
"Col_0101","GE_1130","NULL"
"Col_0102","GE_1131","Colorectalcancer,somatic"
"Col_0103","GE_1132","HomocystinuriaduetoMTHFRdeficiency"
"Col_0104","GE_1133","NULL"
"Col_0105","GE_1134","Developmentaldelay,hypotonia,andimpairedlanguage"
"Col_0106","GE_1135","NULL"
"Col_0107","GE_1136","Diamond-Blackfananemia6"
"Col_0108","GE_1137","Tumorpredispositionsyndrome2"
"Col_0109","GE_1138","NULL"
"Col_0110","GE_1139","?Deafness,congenitalheartdefects,andposteriorembryotoxon"
"Col_0111","GE_1140","?Bleedingdisorder,platelet-type,22"
"Col_0112","GE_1141","Endometrialcarcinoma,somatic"
"Col_0113","GE_1142","NULL"
"Col_0114","GE_1143","NULL"
"Col_0115","GE_1144","NULL"
"Col_0116","GE_1145","NULL"
"Col_0117","GE_1146","{Prostatecancer,hereditary,10}"
"Col_0118","GE_1147","Ovariancancer,somatic"
"Col_0119","GE_1148","Agammaglobulinemia,X-linked1"
"Col_0120","GE_1149","NULL"
"Col_0121","GE_1150","NULL"
"Col_0122","GE_1151","[Acetylation,slow]"
"Col_0123","GE_1152","{?Colorectalcancer,susceptibilityto}"
"Col_0124","GE_1153","NULL"
"Col_0125","GE_1154","NULL"
"Col_0126","GE_1155","NULL"
"Col_0127","GE_1156","NULL"
"Col_0128","GE_1157","{Colorectalcancer,susceptibilityto}"
"Col_0129","GE_1158","Mismatchrepaircancersyndrome4"
"Col_0130","GE_1159","Gastriccancer,somatic"
"Col_0131","GE_1160","Diffusegastricandlobularbreastcancersyndromewithorwithoutcleftlipand/orpalate"
"Col_0132","GE_1161","NULL"
"Col_0133","GE_1162","NULL"
"Col_0134","GE_1163","NULL"
"Col_0135","GE_1164","Loeys-Dietzsyndrome3"
"Col_0136","GE_1165","Colorectalcancer,somatic"
"Col_0137","GE_1166","Achondroplasia"
"Col_0138","GE_1167","Burkittlymphoma,somatic"
"Col_0139","GE_1168","Sessileserratedpolyposiscancersyndrome"
"Col_0140","GE_1169","Familialadenomatouspolyposis3"
"Col_0141","GE_1170","Adenomas,multiplecolorectal"
"Col_0142","GE_1171","{Endometrialcancer,familial}"
"Col_0143","GE_1172","Muir-Torresyndrome"
"Col_0144","GE_1173","Mismatchrepaircancersyndrome1"
"Col_0145","GE_1174","[Acetylation,slow]"
"Col_0146","GE_1175","Silver-Russellsyndrome3"
"Col_0147","GE_1176","Bloomsyndrome"
"Col_0148","GE_1177","Birt-Hogg-Dubesyndrome"
"Col_0149","GE_1178","Colorectalcancer,somatic"
"Col_0150","GE_1179","{Colorectalcancer,susceptibilityto,3}"
"Col_0151","GE_1180","Colorectalcancer,somatic"
"Col_0152","GE_1181","Blepharocheilodonticsyndrome1"
"Col_0153","GE_1182","Liverdisease,severecongenital"
"Col_0154","GE_1183","Polycystickidneydisease4,withorwithouthepaticdisease"
"Col_0155","GE_1184","Colorectalcancerwithchromosomalinstability,somatic"
"Col_0156","GE_1185","{Diabetesmellitus,type2,susceptibilityto}"
"Col_0157","GE_1186","Congenitalheartdefects,multipletypes,8,withorwithoutheterotaxy"
"Col_0158","GE_1187","Mandibularhypoplasia,deafness,progeroidfeatures,andlipodystrophysyndrome"
"Col_0159","GE_1188","Breastcancer,somatic"
"Col_0160","GE_1189","Adenomas,multiplecolorectal"
"Col_0161","GE_1190","Colorectalcancer,somatic"
"Col_0162","GE_1191","FILSsyndrome"
"Col_0163","GE_1192","Adenocarcinomaoflung,somatic"
"Col_0164","GE_1193","Juvenilepolyposis/hereditaryhemorrhagictelangiectasiasyndrome"
"Col_0165","GE_1194","Bonemarrowfailuresyndrome5"
"Col_0166","GE_1195","Colorectalcancer,somatic"
"Col_0167","GE_1196","Arteriovenousmalformationofthebrain,somatic"
"Col_0168","GE_1197","Lynchsyndrome5"
"Col_0169","GE_1198","Lynchsyndrome4"
"Col_0170","GE_1199","Adenoma,periampullary,somatic"
"Col_0171","GE_1200","Colorectalcancer,hereditarynonpolyposis,type7"
"Col_0172","GE_1201","Adenoma,periampullary,somatic"
"Col_0173","GE_1202","Lynchsyndrome1"
"Col_0174","GE_1203","Lynchsyndrome2"
"Col_0175","GE_1204","NULL"
"Col_0176","GE_1205","NULL"
"Col_0177","GE_1206","NULL"
"Col_0178","GE_1207","Colorectalcancer,somatic"
"Col_0179","GE_1208","Colorectalcancer,somatic"
"Col_0180","GE_1209","Lynchsyndrome5"
"Col_0181","GE_1210","Lynchsyndrome4"
"Col_0182","GE_1211","Colorectalcancer,hereditarynonpolyposis,type6"
"Col_0183","GE_1212","Lynchsyndrome8"
"Col_0184","GE_1213","Lynchsyndrome2"
"Col_0185","GE_1214","Colorectalcancer,hereditarynonpolyposis,type7"
"Col_0186","GE_1215","Lynchsyndrome1"
"Col_0187","GE_1216","{?Colorectalcancer,susceptibilityto}"
"Col_0188","GE_1217","{Colorectalcancer,susceptibilityto,11}"
"Col_0189","GE_1218","{Colorectalcancer,susceptibilityto,9}"
"Col_0190","GE_1219","{Colorectalcancer,susceptibilityto,8}"
"Col_0191","GE_1220","{Colorectalcancer,susceptibilityto,7}"
"Col_0192","GE_1221","{Colorectalcancer,susceptibilityto,6}"
"Col_0193","GE_1222","{Colorectalcancer,susceptibilityto,5}"
"Col_0194","GE_1223","{Colorectalcancer,susceptibilityto,2}"
"Col_0195","GE_1224","{Colorectalcancer,susceptibilityto,12}"
"Col_0196","GE_1225","{Colorectalcancer,susceptibilityto,10}"
"Col_0197","GE_1226","{Colorectalcancer,susceptibilityto,3}"
"Col_0198","GE_1227","{Colorectalcancer,susceptibilityto,1}"
"Col_0199","GE_1228","Oligodontia-colorectalcancersyndrome"
"Col_0200","GE_1229","Polyposissyndrome,hereditarymixed1"
"Dia1_0001","GE_0001","{Diabetesmellitus,insulin-dependent,11}"
"Dia1_0002","GE_0002","{Diabetesmellitus,insulin-dependent,8}"
"Dia1_0003","GE_0003","{Diabetesmellitus,insulin-dependent,7}"
"Dia1_0004","GE_0004","{Diabetesmellitus,insulin-dependent,4}"
"Dia1_0005","GE_0005","{Diabetesmellitus,insulin-dependent,3}"
"Dia1_0006","GE_0006","{Diabetesmellitus,insulin-dependent,19}"
"Dia1_0007","GE_0007","NULL"
"Dia1_0008","GE_0008","NULL"
"Dia1_0009","GE_0009","{Inflammatoryboweldisease(Crohndisease)19}"
"Dia1_0010","GE_0010","NULL"
"Dia1_0011","GE_0011","Holoprosencephaly3"
"Dia1_0012","GE_0012","NULL"
"Dia1_0013","GE_0013","NULL"
"Dia1_0014","GE_0014","NULL"
"Dia1_0015","GE_0015","[Bloodgroup,Kidd]"
"Dia1_0016","GE_0016","Mitchell-Rileysyndrome"
"Dia1_0017","GE_0017","Histiocytosis-lymphadenopathyplussyndrome"
"Dia1_0018","GE_0018","Woodhouse-Sakatisyndrome"
"Dia1_0019","GE_0019","NULL"
"Dia1_0020","GE_0020","NULL"
"Dia1_0021","GE_0021","Arthrogryposismultiplexcongenita5"
"Dia1_0022","GE_0022","Erythrocytosis,somatic"
"Dia1_0023","GE_0023","Diarrhea4,malabsorptive,congenital"
"Dia1_0024","GE_0024","NULL"
"Dia1_0025","GE_0025","Acrodysostosis2,withorwithouthormoneresistance"
"Dia1_0026","GE_0026","Rickets,vitaminD-resistant,typeIIA"
"Dia1_0027","GE_0027","Immunodeficiency,X-linked,withhyper-IgM"
"Dia1_0028","GE_0028","Agammaglobulinemia,X-linked1"
"Dia1_0029","GE_0029","Immunodysregulation,polyendocrinopathy,andenteropathy,X-linked"
"Dia1_0030","GE_0030","NULL"
"Dia1_0031","GE_0031","NULL"
"Dia1_0032","GE_0032","Diabetesmellitus,type2"
"Dia1_0033","GE_0033","{Malaria,resistanceto}"
"Dia1_0034","GE_0034","NULL"
"Dia1_0035","GE_0035","Immunodeficiency105,severecombined"
"Dia1_0036","GE_0036","Interleukin1receptorantagonistdeficiency"
"Dia1_0037","GE_0037","NULL"
