"MetabolismID","MetabolismName","ChemicalFormula","State","Reference","Details"
"COL_HMDB0000077","Dehydroepiandrosterone","C19H28O2","['Solid']","PubMed:7951484 ,PubMed:12050224 ,PubMed:26079780 ,PubMed:9177373 ,PubMed:11826238 ,PubMed:16439592 ,PubMed:18182448 ,PubMed:9077535 ,PubMed:15249323 ","https://hmdb.ca/metabolites/HMDB0000077"
"COL_HMDB0000085","Deoxyguanosine","C10H13N5O4","['Solid']","PubMed:27015276 ,PubMed:27275383 ,PubMed:25037050 ,PubMed:10102915 ,PubMed:16131572 ","https://hmdb.ca/metabolites/HMDB0000085"
"COL_HMDB0000125","Glutathione","C10H17N3O6S","['Solid']","PubMed:16139832 ,PubMed:23823132 ,PubMed:25004141 ,PubMed:238530 ,PubMed:11978879 ,PubMed:12938853 ","https://hmdb.ca/metabolites/HMDB0000125"
"COL_HMDB0000145","Estrone","C18H22O2","['Solid']","PubMed:9177373 ,PubMed:3864567 ","https://hmdb.ca/metabolites/HMDB0000145"
"COL_HMDB0000151","Estradiol","C18H24O2","['Solid']","PubMed:7951484 ,PubMed:26079780 ,PubMed:9177373 ,PubMed:16477341 ,PubMed:26161337 ,PubMed:3864567 ,PubMed:9077535 ,PubMed:7477119 ,PubMed:10585175 ","https://hmdb.ca/metabolites/HMDB0000151"
"COL_HMDB0000174","L-Fucose","C6H12O5","['Solid']","PubMed:2311216 ,PubMed:27275383 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0000174"
"COL_HMDB0000197","Indoleacetic acid","C10H9NO2","['Solid']","PubMed:22626821 ,PubMed:12675874 ,PubMed:6518200 ,PubMed:3410814 ,PubMed:6518200 ,PubMed:27015276 ,PubMed:27275383 ,PubMed:25037050 ,PubMed:31026179 ,PubMed:11462886 ,PubMed:9505884 ,PubMed:14055140 ","https://hmdb.ca/metabolites/HMDB0000197"
"COL_HMDB0000212","N-Acetylgalactosamine","C8H15NO6","['Solid']","PubMed:27275383 ","https://hmdb.ca/metabolites/HMDB0000212"
"COL_HMDB0000239","Pyridoxine","C8H11NO3","['Solid']","PubMed:9798656 ,PubMed:27912044 ,PubMed:27609529 ,PubMed:27609529 ,PubMed:25037050 ","https://hmdb.ca/metabolites/HMDB0000239"
"COL_HMDB0000268","Tetrahydrocorticosterone","C21H34O4","['Solid']","PubMed:3841304 ","https://hmdb.ca/metabolites/HMDB0000268"
