"MetabolismID","OmimID"
"COL_HMDB0000085","114500 ,164050 "
"COL_HMDB0000125","271900 ,181500 ,231950 ,126200 "
"COL_HMDB0000145","613546 ,308100 "
"COL_HMDB0000151","201810 ,613546 ,202110 ,308100 ,201710 ,600955 "
"COL_HMDB0000174","114500 ,610247 "
"COL_HMDB0000197","606788 ,209850 ,608516 ,114500 ,610247 ,276100 "
"COL_HMDB0000212","114500 "
"COL_HMDB0000239","617290 ,266600 ,114500 ,610247 "
"COL_HMDB0000268","201710 "
"COL_HMDB0000381","210500 "
"COL_HMDB0000493","181500 "
"COL_HMDB0000510","245130 ,266600 ,114500 ,610247 ,181500 "
"COL_HMDB0000599","125853 ,126200 ,168600 "
"COL_HMDB0000606","600721 ,615182 ,271550 "
"COL_HMDB0000608","104300 ,126200 ,168600 "
"COL_HMDB0000626","219700 ,114500 ,109720 "
"COL_HMDB0000635","276700 ,276700 ,610247 "
"COL_HMDB0000663","610247 "
"COL_HMDB0000694","236792 ,615182 ,610247 ,600721 "
"COL_HMDB0000753","212750 ,209850 "
"COL_HMDB0000761","219700 ,210500 ,114500 ,109720 "
"COL_HMDB0000782","114500 "
"COL_HMDB0000788","258900 "
"COL_HMDB0000797","103050 ,608688 ,606812 "
"COL_HMDB0000807","104300 ,600274 "
"COL_HMDB0000828","176807 "
"COL_HMDB0000830","604369 "
"COL_HMDB0000845","126200 ,182125 ,168600 ,276880 ,266600 ,264070 "
"COL_HMDB0000852","114500 ,210250 "
"COL_HMDB0000855","601313 "
"COL_HMDB0000884","114500 "
"COL_HMDB0000937","210250 ,114500 "
"COL_HMDB0001336","104300 ,114500 "
"COL_HMDB0001406","266600 ,114500 "
"COL_HMDB0001976","243500 ,114500 "
"COL_HMDB0002000","114500 "
"COL_HMDB0002012","126200 "
"COL_HMDB0002100","114500 "
"COL_HMDB0002124","114500 "
"COL_HMDB0002269","114500 "
"COL_HMDB0002374","210250 "
"COL_HMDB0002395","114500 "
"COL_HMDB0002825","248310 ,114500 ,600807 ,601313 "
"COL_HMDB0002869","210250 ,114500 "
"COL_HMDB0002886","180300 "
"COL_HMDB0002902","114500 "
"COL_HMDB0003080","614037 "
"COL_HMDB0004610","114500 "
"COL_HMDB0004628","104300 ,126200 ,168600 "
"COL_HMDB0004667","601313 ,114500 "
"COL_HMDB0004814","212750 ,209850 ,125853 "
"COL_HMDB0004866","200100 "
"COL_HMDB0004877","200100 "
"COL_HMDB0004879","235400 "
"COL_HMDB0004880","200100 "
"COL_HMDB0004881","235400 "
"COL_HMDB0004882","200100 "
"COL_HMDB0004884","200100 "
"COL_HMDB0004886","200100 "
"COL_HMDB0005047","109720 "
"COL_HMDB0005794","125853 "
"COL_HMDB0005800","114500 "
"COL_HMDB0006101","114500 "
"COL_HMDB0006270","211980 "
"COL_HMDB0006478","212750 ,266600 "
"COL_HMDB0011623","600807 ,212750 "
"COL_HMDB0013780","212750 ,209850 ,266600 "
"COL_HMDB0028830","114500 "
"COL_HMDB0030776","114500 "
"COL_HMDB0031217","209850 ,266600 ,212750 "
"COL_HMDB0033844","601665 ,222100 "
"COL_HMDB0034168","600807 ,209850 ,212750 "
"COL_HMDB0035093","212750 "
"Dia_HMDB0000164","266600 ,610247 "
"Dia_HMDB0000174","114500 ,610247 "
"Dia_HMDB0000378","601313 "
"Dia_HMDB0000510","245130 ,266600 ,114500 ,610247 ,181500 "
"Dia_HMDB0000525","114500 ,201450 "
"Dia_HMDB0000552","246450 "
"Dia_HMDB0000736","201475 "
"Dia_HMDB0000824","212750 ,266600 ,610247 ,606054 ,601665 "
"Dia_HMDB0001043","145500 ,181500 ,243500 ,114500 "
"Dia_HMDB0001310","606054 "
"Dia_HMDB0001431","617290 "
"Dia_HMDB0001496","126200 ,114500 "
"Dia_HMDB0001921","114500 "
"Dia_HMDB0001928","114500 "
"Dia_HMDB0002014","201475 ,601665 ,610247 "
"Dia_HMDB0002030","125853 ,202010 "
"Dia_HMDB0002250","212750 ,201475 ,601665 "
"Dia_HMDB0002271","114500 "
"Dia_HMDB0002302","114500 "
"Dia_HMDB0002366","212750 "
"Dia_HMDB0002453","610247 "
"Dia_HMDB0002503","104300 ,126200 ,168600 "
"Dia_HMDB0002815","601665 ,114500 "
"Dia_HMDB0003933","104300 "
"Dia_HMDB0004136","114500 ,608611 "
"Dia_HMDB0005047","109720 "
"Dia_HMDB0006270","211980 "
"Dia_HMDB0006528","243500 ,114500 "
"Dia_HMDB0010379","167000 "
"Dia_HMDB0010382","181500 ,114550 ,114500 ,610247 "
"Dia_HMDB0010383","610247 "
"Dia_HMDB0010384","181500 ,114550 ,114500 ,610247 ,601665 "
"Dia_HMDB0010385","181500 ,601665 "
"Dia_HMDB0010386","181500 ,601665 ,610247 "
"Dia_HMDB0010395","601665 ,610247 "
"Dia_HMDB0010396","601665 "
"Dia_HMDB0012108","610247 "
"Dia_HMDB0013128","601665 ,243500 ,610006 ,610247 "
"Dia_HMDB0013326","231680 ,601665 "
"Dia_HMDB0013331","601665 ,610247 "
"Dia_HMDB0060015","114500 "
"Dia_HMDB0062179","608688 "
"Lun_HMDB0000085","114500 ,164050 "
"Lun_HMDB0000125","271900 ,181500 ,231950 ,126200 "
"Lun_HMDB0000145","613546 ,308100 "
"Lun_HMDB0000151","201810 ,613546 ,202110 ,308100 ,201710 ,600955 "
